"","year","month","date_concat","property_id","utility_acct_number","user_id","ParticipantID","payment_type","kwh_allocated","solar_farm_name","HH Income","leave_reason","default_dummy","churn_dummy"
"22693",2021,12,"2021_12",47,"649729000",51,12,"card",5735.28,"Howell (O&R)",">=$50,000","0",0,0
"22694",2021,12,"2021_12",47,"649729000",51,12,"card",5735.28,"Howell (O&R)",">=$50,000","0",0,0
"22695",2021,12,"2021_12",47,"649729000",51,12,"card",5735.28,"Howell (O&R)",">=$50,000","0",0,0
"22696",2021,12,"2021_12",624,"936404027",578,94,"card",3034.15,"Howell (O&R)",">=$50,000","0",0,0
"22697",2020,6,"2020_6",1471,"4450734008",1577,565,"card",13061.6,"Howell (O&R)","not in list","0",0,0
"22698",2021,12,"2021_12",1107,"715866014",1139,398,"card",16983.8,"Howell (O&R)",">=$50,000","0",0,0
"22699",2021,12,"2021_12",1107,"715866014",1139,398,"ach",16983.8,"Howell (O&R)",">=$50,000","0",0,0
"22700",2021,12,"2021_12",1372,"641082028",1530,550,"card",5365.26,"Howell (O&R)",">=$50,000","0",0,0
"22701",2021,12,"2021_12",1372,"641082028",1530,550,"card",5365.26,"Howell (O&R)",">=$50,000","0",0,0
"22702",2021,12,"2021_12",1052,"747056015",1064,357,"card",12617.6,"Howell (O&R)","No Data","0",0,0
"22703",2021,12,"2021_12",1021,"4465457018",1033,337,"card",10545.5,"Howell (O&R)",">=$50,000","No Longer Interested",0,1
"22704",2021,12,"2021_12",1021,"4465457018",1033,337,"card",10545.5,"Howell (O&R)",">=$50,000","No Longer Interested",0,1
"22705",2021,12,"2021_12",1021,"4465457018",1033,337,"card",10545.5,"Howell (O&R)",">=$50,000","No Longer Interested",0,1
"22706",2021,12,"2021_12",1021,"4465457018",1033,337,"card",10545.5,"Howell (O&R)",">=$50,000","No Longer Interested",0,1
"22707",2020,6,"2020_6",1239,"21003248552",1291,487,"card",12630,"Frog Hollow (CHGE)","not in list","Churn",0,1
"22708",2020,6,"2020_6",1239,"21003248552",1291,487,"card",12630,"Frog Hollow (CHGE)","not in list","Churn",0,1
"22709",2020,6,"2020_6",1239,"21003248552",1291,487,"card",12630,"Frog Hollow (CHGE)","not in list","Churn",0,1
"22710",2020,6,"2020_6",437,"5459788003",423,41,"ach",4107.2,"Howell (O&R)",">=$50,000","0",0,0
"22711",2020,6,"2020_6",437,"5459788003",423,41,"ach",4107.2,"Howell (O&R)",">=$50,000","0",0,0
"22712",2020,6,"2020_6",437,"5459788003",423,41,"ach",4107.2,"Howell (O&R)",">=$50,000","0",0,0
"22713",2020,6,"2020_6",437,"5459788003",423,41,"ach",4107.2,"Howell (O&R)",">=$50,000","0",0,0
"22714",2020,6,"2020_6",437,"5459788003",423,41,"ach",4107.2,"Howell (O&R)",">=$50,000","0",0,0
"22715",2020,6,"2020_6",437,"5459788003",423,41,"ach",4107.2,"Howell (O&R)",">=$50,000","0",0,0
"22716",2020,6,"2020_6",437,"5459788003",423,41,"ach",4107.2,"Howell (O&R)",">=$50,000","0",0,0
"22717",2020,6,"2020_6",837,"21002485494",818,214,"card",10825.7,"Frog Hollow (CHGE)","not in list","0",0,0
"22718",2020,6,"2020_6",837,"21002485494",818,214,"card",10825.7,"Frog Hollow (CHGE)","not in list","0",0,0
"22719",2021,12,"2021_12",451,"8409265021",439,49,"card",10027.5,"Howell (O&R)",">=$50,000","0",0,0
